CO2,horse,type
384.81,300,Car
351.28,300,Car
219.12,300,Car
380.82,300,Car
220.46,300,Car
364.08,300,Car
223.93,300,Car
378.52,300,Car
220.49,300,Car
355,300,Car
219.51,300,Car
385.27,300,Car
222.02,300,Car
217.8994511,300,Car
376.1786993,300,Car
366.58,300,Car
211.99,300,Car
405.25,448,Car
252.2,448,Car
458.13,448,Car
267.9,448,Car
257.3810855,448,Car
420.3248942,448,Car
418.7225,448,Car
256.790705,448,Car
419.082543,448,Car
458.96,448,Car
263.16,448,Car
471.97,448,Car
263.96,448,Car
424.2,448,Car
268.78,448,Car
459.27,448,Car
263.96,448,Car
334.88,255,Car
334.88,255,Car
334.88,255,Car
334.88,255,Car
216.13,255,Car
216.13,255,Car
216.13,255,Car
216.13,255,Car
360.95,255,Car
360.95,255,Car
360.95,255,Car
360.95,255,Car
355.56,255,Car
355.56,255,Car
355.56,255,Car
355.56,255,Car
218.81,255,Car
218.81,255,Car
218.81,255,Car
218.81,255,Car
219.65,300,Car
377.04,300,Car
369.8,300,Car
226.18,300,Car
360.85,300,Car
220.29,300,Car
375.93,300,Car
219.66,300,Car
362.85,300,Car
228.15,300,Car
380.32,300,Car
227.06,300,Car
428.57,448,Car
258.54,448,Car
442.6,448,Car
259.04,448,Car
406.45,448,Car
251.59,448,Car
443.74,448,Car
256.94,448,Car
259.7,448,Car
440.07,448,Car
475.09,448,Car
274.04,448,Car
426.99,448,Car
255.62,448,Car
442.67,448,Car
254.62,448,Car
430.34,448,Car
264.55,448,Car
458.5,448,Car
267.97,448,Car
447.75,448,Car
263.54,448,Car
263.54,448,Car
451.23,448,Car
574.75,535,Car
316.09,535,Car
200.3050615,300,Car
285.3144899,300,Car
262.63,300,Car
184.22,300,Car
351.06,300,Car
391.34,300,Car
325.08889,300,Car
308.87385,300,Car
211.76469,300,Car
211.00119,300,Car
326.8325,300,Car
318.3974551,300,Car
327.44,300,Car
390.36,300,Car
386.75,300,Car
205.12,300,Car
319.35,300,Car
208.07,300,Car
310.71,300,Car
206.88,300,Car
442.29,540,Car
278.67,540,Car
467.79,540,Car
284.22,540,Car
492.9,540,Car
283.56,540,Car
169.44,11,Car
227.82,11,Car
207.88,11,Car
202.6,11,Car
169.81,11,Car
398.92,231,Car
296.88,231,Car
293.84,231,Car
231.2274381,231,Car
192.4388341,231,Car
338.64,300,Both
205.28,300,Both
339.97,300,Both
204.35,300,Both
339.77,300,Both
206.19,300,Both
350.88,300,Both
206.09,300,Both
220.94,300,Both
351.44,300,Both
232.4,300,Both
360.86,300,Both
342.58,300,Both
219.52,300,Both
366.54,300,Both
369.89,300,Both
241.97,300,Both
